"","Pais","grupos.tamanio","grupos.calif","periodo","ocupados","asalariados","tcp","tasa.asalarizacion","seguridad.social.si.asal","seguridad.social.no.asal","registrados.asal","no.registrados.asal","empleo.temporal.asal","empleo.no.temporal.asal","part.involun.asal","part.volunt.asal","full.time.asal","seguridad.social.si.tcp","seguridad.social.no.tcp","registrados.tcp","no.registrados.tcp","empleo.temporal.tcp","empleo.no.temporal.tcp","part.involun.tcp","part.volunt.tcp","full.time.tcp","tasa.1.asalariados","tasa.2.asalariados","tasa.3.asalariados","promedio.ing.oc.prin","promedio.ing.oc.prin.asal","promedio.ing.oc.prin.tcp","tasa.partime.asal","tasa.seguridad.social.asal","tasa.no.registro.asal","tasa.temp.asal","tasa.partime.tcp","tasa.seguridad.social.tcp","tasa.no.registro.tcp","tasa.temp.tcp","particip.ocup","particip.asal","particip.tcp","tamanio.calif","tamanio.calif2"
"1","Bolivia","Pequeño","Baja",2019,124082.525748843,56324.446768546,56324.446768546,0.453887627729561,10808.979298216,45515.4674703301,7628.50441028378,48695.9423582623,5938.73527924126,50385.7114893048,3932.00043539932,16279.3605645777,36113.085768569,6868.81403741748,60889.2649428792,0,0,0,0,15334.5801213353,33279.3158351497,19144.1830238116,0.942829860036414,0.482868889595509,0.0281168396283151,1532.54011811251,1671.23884143834,1418.9123883559,0.0704860270743018,0.808314315959804,0.863641770919719,0.11204729678817,0.226407135495592,0.899048414548437,0,0.188735221970118,0.0457991059161619,0.0484369716330031,0.0484369716330031,"Pequeño - Baja","1) Pequeño - Baja"
"2","Bolivia","Pequeño","Media",2019,1879069.93252347,548747.386748383,548747.386748383,0.292150303141783,90211.0619391515,458536.324809231,32982.9114654306,515764.475282952,31013.455748683,517733.9309997,24229.0601010408,89975.390045666,434542.936601676,178159.302084353,1152163.24369073,0,17.7189198911098,0,17.7189198911098,86462.4171870815,333178.298749871,910681.829838135,0.907537236700624,0.282448022093908,0.0161166788030411,2607.63418421604,2318.86838423325,2727.87084154705,0.0440596660809613,0.83568492558469,0.93992981333442,0.118849277856609,0.0648990573808883,0.865925932498349,0.25,0.114865401765443,0.693873296275599,0.472260816342538,0.472260816342538,"Pequeño - Media","2) Pequeño - Media"
"3","Bolivia","Pequeño","Alta",2019,238245.662381497,90552.4520362311,90552.4520362311,0.37982959231345,43889.4409869477,46663.0110492834,28517.5324003342,62034.919635897,15922.8482027498,74629.6038334813,7049.07359689424,23567.6226933162,59935.7557460207,56612.6089369884,91080.601408277,0,0,0,0,19860.9426037941,56410.6668529763,71421.600888495,0.734358223229732,0.25081461514254,0.0205137966640804,3052.73113797813,2766.84094660403,3228.26057586518,0.0773467592635736,0.515112127598782,0.684608134182636,0.128321000018852,0.134430065596651,0.616266559340872,0,0.150175679951493,0.0879777529649924,0.0778902567889195,0.0778902567889195,"Pequeño - Alta","3) Pequeño - Alta"
"4","Bolivia","Mediano","Baja",2019,36652.0923132688,36652.0923132688,36652.0923132688,1,24254.2150052265,12397.8773080422,22205.6676493213,14446.4246639475,13451.8576330632,23200.2346802055,1238.89270663141,3394.06658983538,32019.133016802,0,0,0,0,0,0,0,0,0,0.766841786090622,0.353305172625304,0.0171838170648854,2454.82634865619,2454.82634865619,0,0.0319403770849757,0.341043854506651,0.396278533144369,0.15517678897899,0,0,0,0,0.0135240704230452,0.0315269282951117,0.0315269282951117,"Mediano - Baja","4) Mediano - Baja"
"5","Bolivia","Mediano","Media",2019,165755.14901441,165755.14901441,165755.14901441,1,109870.047131465,55885.1018829449,98582.3254546913,67172.8235597188,49370.2159181947,116384.933096215,2189.88572342778,9567.1281714017,153998.135119581,0,0,0,0,0,0,0,0,0,0.700153329248401,0.341369855909321,0.012198153269172,3085.53393060039,3085.53393060039,0,0.013218726554795,0.338063375504404,0.405795264688833,0.103940844820958,0,0,0,0,0.0612483017714333,0.142594180210296,0.142594180210296,"Mediano - Media","5) Mediano - Media"
"6","Bolivia","Mediano","Alta",2019,127988.937548478,127988.937548478,127988.937548478,1,107574.210908474,20414.726640004,105052.601524829,22936.3360236493,47957.3746618516,80031.5628866264,6107.52867549631,22678.2821907004,99203.1266822812,0,0,0,0,0,0,0,0,0,0.562592004863787,0.174379974095457,0.0213229530361161,4576.40995480761,4576.40995480761,0,0.0476207305076183,0.159479005857509,0.179163535608833,0.117725316557035,0,0,0,0,0.0473044232269461,0.110173828599912,0.110173828599912,"Mediano - Alta","6) Mediano - Alta"
"7","Bolivia","Grande","Baja",2019,16435.1569616797,16435.1569616797,16435.1569616797,1,13642.8449774087,2792.31198427098,13729.8792252734,2705.27773640628,7469.70711391921,8965.4498477605,156.442823937968,1112.64407980756,15166.0700579342,0,0,0,0,0,0,0,0,0,0.613140811430056,0.172433340466789,0.00534563152102027,2872.80272093681,2872.80272093681,0,0.00857378952340723,0.166578633337737,0.16267217386748,0.054024502475182,0,0,0,0,0.00607596038903625,0.0141529825673571,0.0141529825673571,"Grande - Baja","7) Grande - Baja"
"8","Bolivia","Grande","Media",2019,68580.5460360499,68580.5460360499,68580.5460360499,1,62049.9611752779,6530.58486077197,61102.9812836418,7477.56475240813,20854.4738806872,47726.0721553627,190.896648191932,708.036399754179,67681.6129881038,0,0,0,0,0,0,0,0,0,0.415766679964085,0.0954901092928746,0.000504663350455611,4203.61942410374,4203.61942410374,0,0.00276242706943694,0.095602155094313,0.108749897110293,0.0882436784181866,0,0,0,0,0.0253316324838123,0.0590100718235817,0.0590100718235817,"Grande - Media","8) Grande - Media"
"9","Bolivia","Grande","Alta",2019,51076.3684212548,51076.3684212548,51076.3684212548,1,49027.4905647059,2048.87785654887,48575.711959513,2500.65646174175,18955.0718248901,32121.2965963647,1388.72470453572,4773.15156640264,44914.4921503164,0,0,0,0,0,0,0,0,0,0.42736489818626,0.0545290261939113,0.006035633883566,6106.8989765631,6106.8989765631,0,0.0270922853100022,0.0403881582795702,0.0486709208670099,0.126458280530227,0,0,0,0,0.0188654565489736,0.0439539637392808,0.0439539637392808,"Grande - Alta","9) Grande - Alta"
"10","Brasil","Pequeño","Baja",2019,5427816.81201006,3529969.67772285,3529969.67772285,0.650305223618005,1075543.71004826,2454425.96767459,953657.150106767,2576312.52761609,0,0,645446.676294855,449667.90887756,2434855.09255044,217670.27976611,1680176.8545211,0,0,0,0,386772.473845998,449267.144283212,1061807.516158,0.790539296188314,0.522314508360001,0.11373829751659,856.724163959786,852.966993237455,863.689385696123,0.182862649415225,0.695332856951394,0.729875939911456,0.418009825624396,0.203797212047239,0.885252258721828,0,0.300850233812104,0.0943396932643256,0.0900676424032906,0.0900676424032906,"Pequeño - Baja","1) Pequeño - Baja"
